1.000000e-02 3.162310e+04 1.921943e+04 1.393296e+03 -3.550113e+01 -3.011810e+01 -5.712092e+00  
1.078190e-02 3.252261e+04 1.975165e+04 1.428770e+03 -4.247151e+01 -3.603755e+01 -6.835369e+00  
1.162493e-02 3.332484e+04 2.022190e+04 1.459138e+03 -5.062865e+01 -4.296727e+01 -8.150606e+00  
1.253387e-02 3.400950e+04 2.061753e+04 1.483439e+03 -6.011601e+01 -5.103031e+01 -9.681281e+00  
1.351389e-02 3.455855e+04 2.092736e+04 1.500779e+03 -7.108257e+01 -6.035508e+01 -1.145195e+01  
1.457054e-02 3.494677e+04 2.113583e+04 1.510034e+03 -8.365504e+01 -7.105149e+01 -1.348371e+01  
1.570980e-02 3.514979e+04 2.122824e+04 1.510114e+03 -9.793754e+01 -8.321109e+01 -1.579427e+01  
1.693814e-02 3.522345e+04 2.123808e+04 1.503398e+03 -1.142548e+02 -9.711376e+01 -1.843713e+01  
1.826252e-02 3.508760e+04 2.111689e+04 1.487237e+03 -1.325254e+02 -1.126956e+02 -2.140075e+01  
1.969046e-02 3.466145e+04 2.081708e+04 1.456165e+03 -1.524668e+02 -1.297225e+02 -2.464128e+01  
2.123005e-02 3.401312e+04 2.037967e+04 1.415403e+03 -1.742841e+02 -1.483770e+02 -2.819422e+01  
2.289002e-02 3.307531e+04 1.976596e+04 1.361912e+03 -1.974655e+02 -1.682321e+02 -3.197937e+01  
2.467978e-02 3.189941e+04 1.900794e+04 1.298226e+03 -2.219429e+02 -1.892405e+02 -3.598882e+01  
2.660948e-02 3.057254e+04 1.815889e+04 1.228320e+03 -2.479531e+02 -2.116168e+02 -4.026470e+01  
2.869006e-02 2.908897e+04 1.721721e+04 1.152330e+03 -2.750690e+02 -2.350119e+02 -4.474222e+01  
3.093332e-02 2.744616e+04 1.618372e+04 1.071030e+03 -3.026569e+02 -2.589006e+02 -4.932309e+01  
3.335198e-02 2.569697e+04 1.509178e+04 9.871187e+02 -3.304984e+02 -2.831140e+02 -5.397698e+01  
3.595976e-02 2.392857e+04 1.399389e+04 9.043476e+02 -3.589836e+02 -3.080065e+02 -5.877359e+01  
